pair,preposition,iou,experiment_path
preposition-object,around,0.30441176891326904,experiments/547444
preposition-verb,around,0.007042253389954567,experiments/547444
preposition-subject,up of,0.0,experiments/608156
preposition-object,up of,0.0,experiments/608156
preposition-verb,up of,0.0,experiments/608156
preposition-subject,with,0.011761822737753391,experiments/91825
preposition-object,with,0.033149171620607376,experiments/91825
preposition-verb,with,0.18333333730697632,experiments/91825
preposition-subject,covered,0.0013280212879180908,experiments/173905
preposition-object,covered,0.0020859406795352697,experiments/173905
preposition-verb,covered,0.0,experiments/173905
preposition-subject,into,0.6931931972503662,experiments/642925
preposition-object,into,0.2301420271396637,experiments/642925
preposition-verb,into,0.0,experiments/642925
preposition-subject,close to,0.0,experiments/124648
preposition-object,close to,0.0,experiments/124648
preposition-verb,close to,0.0,experiments/124648
preposition-subject,in and out,0.398681640625,experiments/453451
preposition-object,in and out,0.13236089050769806,experiments/453451
preposition-subject,out,0.0,experiments/657647
preposition-object,out,0.0,experiments/657647
preposition-verb,out,0.0,experiments/657647
preposition-subject,in front of,0.007905138656497002,experiments/132631
preposition-verb,in front of,0.0,experiments/132631
preposition-subject,about,0.0,experiments/19289
preposition-object,about,0.0,experiments/19289
preposition-verb,about,0.0,experiments/19289
preposition-subject,above,0.24204544723033905,experiments/85356
preposition-object,above,0.12988220155239105,experiments/85356
preposition-subject,beyond,0.1980712115764618,experiments/294186
preposition-object,beyond,0.10862944275140762,experiments/294186
preposition-subject,across,0.0,experiments/230342
preposition-object,across,0.0,experiments/230342
preposition-subject,outside,0.47259506583213806,experiments/113644
preposition-object,outside,0.26819339394569397,experiments/113644
preposition-verb,outside,0.0,experiments/113644
preposition-subject,up and out,0.0,experiments/316402
preposition-object,up and out,0.0,experiments/316402
preposition-verb,up and out,0.0,experiments/316402
preposition-subject,on,0.0,experiments/205924
preposition-object,on,0.0,experiments/205924
preposition-verb,on,0.0,experiments/205924
preposition-subject,up and out,0.0,experiments/115515
preposition-object,up and out,0.0,experiments/115515
preposition-subject,wearing,0.0,experiments/528472
preposition-object,wearing,0.0,experiments/528472
preposition-subject,near,0.0,experiments/596147
preposition-object,near,0.0,experiments/596147
preposition-subject,full of,0.0,experiments/726087
preposition-object,full of,0.0,experiments/726087
preposition-subject,covered,0.0,experiments/662248
preposition-object,covered,0.0,experiments/662248
preposition-verb,covered,0.01965065486729145,experiments/662248
preposition-subject,with,0.008652657270431519,experiments/96730
preposition-object,with,0.0,experiments/96730
preposition-verb,with,0.0,experiments/96730
preposition-subject,out,0.0,experiments/372266
preposition-object,out,0.0,experiments/372266
preposition-verb,out,0.0,experiments/372266
preposition-subject,out of,0.0,experiments/85517
preposition-object,out of,0.0,experiments/85517
preposition-verb,out of,0.0,experiments/85517
preposition-subject,inside of,0.0,experiments/629737
preposition-object,inside of,0.0,experiments/629737
preposition-verb,inside of,0.0,experiments/629737
preposition-subject,along,0.0,experiments/551900
preposition-object,along,0.0,experiments/551900
preposition-verb,along,0.0,experiments/551900
preposition-subject,above,0.0,experiments/502560
preposition-object,above,0.0,experiments/502560
preposition-verb,above,0.0,experiments/502560
preposition-subject,besides,0.0,experiments/636144
preposition-object,besides,0.0,experiments/636144
preposition-verb,besides,0.0,experiments/636144
preposition-subject,within,0.0,experiments/128595
preposition-object,within,0.0,experiments/128595
preposition-verb,within,0.0,experiments/128595
preposition-subject,near,0.3598819971084595,experiments/381347
preposition-object,near,0.0012279984075576067,experiments/381347
preposition-verb,near,0.0,experiments/381347
preposition-subject,in to,0.06666667014360428,experiments/112506
preposition-object,in to,0.1368330419063568,experiments/112506
preposition-verb,in to,0.6868131756782532,experiments/112506
preposition-subject,down into,0.0,experiments/678081
preposition-object,down into,0.0,experiments/678081
preposition-verb,down into,0.0,experiments/678081
preposition-subject,outside of,0.0,experiments/230147
preposition-object,outside of,0.0,experiments/230147
preposition-verb,outside of,0.0,experiments/230147
preposition-subject,up to,0.0,experiments/641344
preposition-object,up to,0.0,experiments/641344
preposition-verb,up to,0.0,experiments/641344
preposition-subject,against,0.0,experiments/227167
preposition-object,against,0.0,experiments/227167
preposition-subject,against,0.01513671875,experiments/416046
preposition-object,against,0.0,experiments/416046
preposition-verb,against,0.0,experiments/416046
preposition-subject,of,0.027288513258099556,experiments/47166
preposition-object,of,0.0,experiments/47166
preposition-subject,atop,0.0,experiments/807277
preposition-object,atop,0.0,experiments/807277
preposition-subject,off,0.0,experiments/382961
preposition-object,off,0.0,experiments/382961
preposition-subject,while,0.0,experiments/410741
preposition-object,while,0.0,experiments/410741
preposition-verb,while,0.0,experiments/410741
preposition-subject,out of,0.0,experiments/588235
preposition-object,out of,0.0,experiments/588235
preposition-verb,out of,0.0,experiments/588235
preposition-subject,holding,0.02380952425301075,experiments/397604
preposition-object,holding,0.0,experiments/397604
preposition-verb,holding,0.0,experiments/397604
preposition-subject,full of,0.0020833334419876337,experiments/429854
preposition-object,full of,0.0004923683009110391,experiments/429854
preposition-verb,full of,0.000550055003259331,experiments/429854
preposition-subject,of,0.0,experiments/329244
preposition-object,of,0.0,experiments/329244
preposition-verb,of,0.0,experiments/329244
preposition-subject,across,0.0,experiments/90076
preposition-object,across,0.0,experiments/90076
preposition-verb,across,0.0,experiments/90076
preposition-subject,against,0.0,experiments/28935
preposition-object,against,0.0,experiments/28935
preposition-verb,against,0.0,experiments/28935
preposition-subject,out,0.0027573530096560717,experiments/95365
preposition-object,out,0.0009950249223038554,experiments/95365
preposition-verb,out,0.0,experiments/95365
preposition-subject,besides,0.0,experiments/342758
preposition-object,besides,0.0,experiments/342758
preposition-subject,towards,0.0,experiments/28968
preposition-object,towards,0.0,experiments/28968
preposition-subject,off,0.0,experiments/16116
preposition-object,off,0.0,experiments/16116
preposition-subject,on top of,0.0,experiments/117489
preposition-object,on top of,0.0,experiments/117489
preposition-verb,on top of,0.0,experiments/117489
preposition-subject,down,0.0,experiments/124198
preposition-object,down,0.0,experiments/124198
preposition-verb,down,0.0,experiments/124198
preposition-subject,off,0.13220815360546112,experiments/35501
preposition-object,off,0.21147356927394867,experiments/35501
preposition-verb,off,0.0,experiments/35501
preposition-subject,close to,0.0,experiments/788761
preposition-object,close to,0.0,experiments/788761
preposition-verb,close to,0.0,experiments/788761
preposition-subject,among,0.0,experiments/683741
