pair,preposition,iou,experiment_path
preposition-verb,down,0.0,experiments/609863
preposition-subject,at,0.519670307636261,experiments/305481
preposition-object,at,0.2322995960712433,experiments/305481
preposition-verb,at,0.0,experiments/305481
preposition-subject,near,0.09648370742797852,experiments/547444
preposition-object,near,0.040616247802972794,experiments/547444
preposition-verb,near,0.0,experiments/547444
preposition-subject,down,0.0,experiments/608156
preposition-object,down,0.0,experiments/608156
preposition-verb,down,0.0,experiments/608156
preposition-subject,on,0.0012242898810654879,experiments/91825
preposition-object,on,0.004597701132297516,experiments/91825
preposition-verb,on,0.02604166604578495,experiments/91825
preposition-subject,with,0.10120805352926254,experiments/173905
preposition-object,with,0.47601011395454407,experiments/173905
preposition-verb,with,0.0,experiments/173905
preposition-subject,on,0.5385444760322571,experiments/642925
preposition-object,on,0.17404980957508087,experiments/642925
preposition-verb,on,0.0,experiments/642925
preposition-subject,on,0.0,experiments/124648
preposition-object,on,0.0,experiments/124648
preposition-verb,on,0.0,experiments/124648
preposition-subject,with,0.0,experiments/453451
preposition-object,with,0.0,experiments/453451
preposition-subject,in,0.0,experiments/657647
preposition-object,in,0.0,experiments/657647
preposition-verb,in,0.0,experiments/657647
preposition-subject,while,0.009057970717549324,experiments/132631
preposition-verb,while,0.0,experiments/132631
preposition-subject,on,0.0,experiments/19289
preposition-object,on,0.0,experiments/19289
preposition-verb,on,0.0,experiments/19289
preposition-subject,with,0.1594567447900772,experiments/85356
preposition-object,with,0.2098245620727539,experiments/85356
preposition-subject,with,0.8970156311988831,experiments/294186
preposition-object,with,0.001908917329274118,experiments/294186
preposition-subject,behind,0.0,experiments/230342
preposition-object,behind,0.0,experiments/230342
preposition-subject,on,0.0,experiments/113644
preposition-object,on,0.0,experiments/113644
preposition-verb,on,0.0,experiments/113644
preposition-subject,in,0.0,experiments/316402
preposition-object,in,0.0,experiments/316402
preposition-verb,in,0.0,experiments/316402
preposition-subject,on,0.0,experiments/205924
preposition-object,on,0.0,experiments/205924
preposition-verb,on,0.0,experiments/205924
preposition-subject,on top of,0.0,experiments/466752
preposition-object,on top of,0.0,experiments/466752
preposition-verb,on top of,0.0,experiments/466752
preposition-subject,of,0.0,experiments/115515
preposition-object,of,0.14710946381092072,experiments/115515
preposition-subject,with,0.7303206920623779,experiments/528472
preposition-object,with,0.02761506289243698,experiments/528472
preposition-subject,of,0.0,experiments/596147
preposition-object,of,0.0,experiments/596147
preposition-subject,of,0.0,experiments/726087
preposition-object,of,0.0,experiments/726087
preposition-subject,in,0.2380952388048172,experiments/662248
preposition-object,in,0.008333333767950535,experiments/662248
preposition-verb,in,0.03086419776082039,experiments/662248
preposition-subject,on,0.0,experiments/96730
preposition-object,on,0.0,experiments/96730
preposition-verb,on,0.0,experiments/96730
preposition-subject,along,0.009803921915590763,experiments/372266
preposition-object,along,0.0,experiments/372266
preposition-verb,along,0.039603959769010544,experiments/372266
preposition-subject,on,0.0,experiments/85517
preposition-object,on,0.0,experiments/85517
preposition-verb,on,0.0,experiments/85517
preposition-subject,in,0.0,experiments/629737
preposition-object,in,0.0,experiments/629737
preposition-verb,in,0.7567750811576843,experiments/629737
preposition-subject,with,0.0,experiments/551900
preposition-object,with,0.0,experiments/551900
preposition-verb,with,0.0,experiments/551900
preposition-subject,of,0.0,experiments/502560
preposition-object,of,0.0,experiments/502560
preposition-verb,of,0.0,experiments/502560
preposition-subject,in,0.0,experiments/636144
preposition-object,in,0.0,experiments/636144
preposition-verb,in,0.0,experiments/636144
preposition-subject,above,0.13081130385398865,experiments/128595
preposition-object,above,0.0,experiments/128595
preposition-verb,above,0.6493827104568481,experiments/128595
preposition-subject,next to,0.0,experiments/545440
preposition-object,next to,0.0,experiments/545440
preposition-verb,next to,0.0,experiments/545440
preposition-subject,in,0.0,experiments/381347
preposition-object,in,0.0,experiments/381347
preposition-verb,in,0.0,experiments/381347
preposition-subject,during,0.02445652149617672,experiments/112506
preposition-object,during,0.3082076907157898,experiments/112506
preposition-verb,during,0.39566394686698914,experiments/112506
preposition-subject,on,0.0,experiments/678081
preposition-object,on,0.0,experiments/678081
preposition-verb,on,0.0,experiments/678081
preposition-subject,in,0.0,experiments/230147
